depth,width,param(M)
0,128,0.033
0,256,0.099
0,512,0.33
0,1024,1.184
0,2048,4.465
0,4096,17.318
0,8192,68.19
0,16384,270.598
0,32768,1078.067
1,128,0.05
1,256,0.166
1,512,0.593
1,1024,2.235
1,2048,8.665
1,4096,34.107
1,8192,135.324
1,16384,539.083
1,32768,2151.907
2,128,0.067
2,256,0.232
2,512,0.857
2,1024,3.287
2,2048,12.866
2,4096,50.897
2,8192,202.457
2,16384,807.567
2,32768,3225.747
4,128,0.1
4,256,0.365
4,512,1.384
4,1024,5.39
4,2048,21.266
4,4096,84.476
4,8192,336.724
4,16384,1344.537
4,32768,5373.428
6,128,0.134
6,256,0.497
6,512,1.912
6,1024,7.494
6,2048,29.667
6,4096,118.055
6,8192,470.991
6,16384,1881.506
6,32768,7521.108
8,128,0.167
8,256,0.63
8,512,2.439
8,1024,9.597
8,2048,38.068
8,4096,151.634
8,8192,605.258
8,16384,2418.475
8,32768,9668.788
